id,title,genero,popularity
11010,The Postman,  Comedy   Drama   Romance  ,10.17
99040,The Confessional,  Thriller   Drama   Mystery  ,0.12
11359,The Indian in the Cupboard,  Adventure   Family   Fantasy  ,10.67
17182,Eye for an Eye,  Drama   Thriller  ,4.73
2054,Mr. Holland's Opus,  Music   Drama   Family  ,7.14
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,  Comedy  ,11.7
19760,Two If by Sea,  Comedy   Romance  ,2.17
9536,Bio-Dome,  Comedy  ,6.39
11525,Lawnmower Man 2: Beyond Cyberspace,  Action   Science Fiction  ,2.5
40628,Two Bits,  Drama   Family  ,4.05
4482,French Twist,  Comedy   Romance  ,2.52
10634,Friday,  Comedy  ,14.57
755,From Dusk Till Dawn,  Horror   Action   Thriller   Crime  ,15.34
11859,Fair Game,  Action   Thriller   Romance  ,5.91
28387,Kicking and Screaming,  Comedy   Drama   Romance  ,3.37
48750,Les Miserables,  Drama   History  ,1.48
20927,Bed of Roses,  Drama   Romance  ,10.41
36929,Big Bully,  Comedy   Family  ,2.94
9102,Screamers,  Horror   Science Fiction  ,12.76
124626,Nico Icon,  Documentary  ,0.13
27526,The Crossing Guard,  Drama   Thriller  ,5.76
9623,The Juror,  Drama   Thriller  ,6.01
46785,The White Balloon,  Family   Drama  ,1.2
400,Things to Do in Denver When You're Dead,  Drama   Crime  ,4.49
880,Antonia's Line,  Drama   Comedy  ,2.03
146599,Once Upon a Time... When We Were Colored,  Romance   Drama  ,0.25
188588,Last Summer in the Hamptons,,0.53
8447,Angels and Insects,  Drama   Romance  ,2.15
10534,White Squall,  Action   Drama  ,9.57
17414,Dunston Checks In,  Adventure   Comedy   Family  ,4.81
13997,Black Sheep,  Comedy  ,8.96
2086,Nick of Time,  Crime   Drama   Thriller  ,6.85
61548,The Journey of August King,  Drama  ,0.41
9095,Mary Reilly,  Drama   Horror   Thriller   Romance  ,12.87
12158,Vampire in Brooklyn,  Comedy   Horror   Romance  ,9.07
9283,Beautiful Girls,  Comedy   Drama   Romance  ,4.67
9208,Broken Arrow,  Action   Adventure   Drama   Thriller  ,14.96
40154,A Midwinter's Tale,  Comedy  ,0.51
406,La Haine,  Drama  ,12.11
45549,Shopping,  Action   Adventure   Drama   Science Fiction   Thriller  ,2.66
63076,Heidi Fleiss: Hollywood Madam,  Documentary  ,0.64
11062,City Hall,  Drama   Thriller  ,4.81
13685,Bottle Rocket,  Comedy   Crime   Drama  ,6.9
47475,Mr. Wrong,  Comedy   Romance  ,3.33
2045,Unforgettable,  Drama   Mystery   Science Fiction   Thriller  ,2.46
9614,Happy Gilmore,  Comedy  ,9.59
688,The Bridges of Madison County,  Drama   Romance  ,5.95
11907,Nobody Loves Me,  Drama   Comedy   Family  ,1.02
10874,Muppet Treasure Island,  Action   Comedy   Music   Family   Adventure  ,6.9
89333,Catwalk,  Documentary  ,0.98
96357,Headless Body in Topless Bar,  Crime  ,0.0
197,Braveheart,  Action   Drama   History   War  ,20.76
103,Taxi Driver,  Crime   Drama  ,14.09
33542,Rumble in the Bronx,  Crime   Action   Comedy   Thriller  ,12.31
43566,Before and After,  Drama   Thriller  ,2.94
71754,Margaret's Museum,  Drama  ,0.37
43612,Happiness Is in the Field,  Comedy  ,1.25
51352,Anne Frank Remembered,  Documentary   Drama   Foreign  ,0.24
16934,The Young Poisoner's Handbook,  Comedy   Crime   Drama  ,6.18
10324,If Lucy Fell,  Comedy   Romance  ,2.89
78406,Steal Big Steal Little,  Comedy   Drama  ,1.52
55731,Race the Sun,  Action   Adventure   Comedy   Drama   Family  ,1.32
32119,The Boys of St. Vincent,  Drama  ,0.87
11066,Boomerang,  Comedy   Romance  ,6.51
11104,Chungking Express,  Drama   Comedy   Romance  ,6.78
37975,The Star Maker,  Drama   Romance  ,1.7
2074,Flirting with Disaster,  Comedy   Romance  ,5.58
27793,The Neverending Story III: Escape from Fantasia,  Fantasy  ,6.25
44284,The Silences of the Palace,  Drama  ,0.41
290157,Jupiter's Wife,,0.0
110972,Pie in the Sky,  Comedy   Romance  ,0.7
32622,Angela,  Comedy   Drama  ,2.2
73067,Frankie Starlight,  Drama   Romance   War  ,0.64
11863,Jade,  Action   Thriller   Mystery   Romance  ,11.42
55475,Nueba Yol,  Comedy   Drama   Romance  ,0.29
124636,Sonic Outlaws,  Music   Documentary  ,0.0
9101,Down Periscope,  Comedy  ,5.18
123360,From the Journals of Jean Seberg,  Documentary  ,0.28
5757,Man of the Year,  Comedy  ,0.54
39428,The Neon Bible,  Drama  ,0.37
124639,Target,,0.0
9302,Up Close & Personal,  Drama   Romance  ,3.4
11000,The Birdcage,  Comedy  ,6.5
249882,Virgin Mary,  Drama  ,0.92
16388,The Brothers McMullen,  Comedy   Drama   Romance  ,2.04
9737,Bad Boys,  Action   Comedy   Crime   Thriller  ,9.26
30765,The Amazing Panda Adventure,  Action   Adventure   Drama   Family  ,2.38
10474,The Basketball Diaries,  Drama   Crime  ,7.42
22279,An Awfully Big Adventure,  Romance   Drama   Comedy  ,0.92
30157,Amateur,  Crime   Comedy   Drama   Thriller  ,1.76
568,Apollo 13,  Drama  ,18.76
11780,Rob Roy,  Adventure  ,10.19
34996,The Addiction,  Drama   Horror  ,3.14
414,Batman Forever,  Action   Crime   Fantasy  ,13.32
649,Belle de Jour,  Drama   Romance  ,10.14
1873,Beyond Rangoon,  Drama   Thriller  ,2.04
5894,Blue in the Face,  Comedy  ,11.53
1775,Canadian Bacon,  Action   Comedy  ,5.39
8839,Casper,  Fantasy   Comedy   Family  ,12.81
20649,Clockers,  Mystery   Crime   Drama  ,4.56
10329,Congo,  Action   Adventure   Drama   Mystery   Science Fiction   Thriller  ,7.26
8963,Crimson Tide,  Action   Thriller   Drama  ,8.66
26564,Crumb,  Documentary  ,3.62
8068,Desperado,  Thriller   Action   Crime  ,6.95
8512,Devil in a Blue Dress,  Drama   Mystery   Thriller  ,4.65
1572,Die Hard: With a Vengeance,  Action   Thriller  ,15.14
13552,The Doom Generation,  Action   Comedy   Crime   Drama  ,7.12
259209,Feast of July,  Drama   Crime  ,0.52
6520,First Knight,  Action   Adventure   Drama   Romance  ,15.18
9073,Free Willy 2 - The Adventure Home,  Adventure  ,7.58
10428,Hackers,  Action   Crime   Thriller   Drama  ,14.81
17447,Jeffrey,  Comedy   Drama   Romance  ,3.2
9886,Johnny Mnemonic,  Adventure   Action   Drama   Science Fiction   Thriller  ,11.72
9482,Judge Dredd,  Science Fiction  ,8.18
19326,Jury Duty,  Comedy   Drama  ,3.68
9344,Kids,  Drama   Crime  ,4.88
9071,Living in Oblivion,  Drama   Comedy  ,10.06
8973,Lord of Illusions,  Mystery   Horror   Thriller  ,4.1
15730,Love & Human Remains,  Comedy   Drama  ,0.35
47608,Mad Love,  Drama   Family   Romance  ,2.62
2293,Mallrats,  Romance   Comedy  ,8.26
9070,Mighty Morphin Power Rangers: The Movie,  Action   Adventure   Science Fiction   Family   Fantasy  ,7.02
68274,Moonlight and Valentino,  Comedy   Drama   Romance  ,1.01
48787,Mute Witness,  Thriller   Foreign  ,2.47
34574,Nadja,  Horror   Thriller  ,7.72
1642,The Net,  Crime   Drama   Mystery   Thriller   Action  ,13.3
11472,Nine Months,  Comedy  ,8.48
36196,Party Girl,  Comedy  ,1.17
11980,The Prophecy,  Fantasy   Horror   Thriller  ,10.19
58372,Reckless,  Fantasy   Comedy   Drama  ,0.12
32646,Safe,  Drama  ,8.18
10533,The Scarlet Letter,  Drama   History   Romance  ,6.75
56088,The Show,  Documentary  ,0.16
10802,Showgirls,  Drama  ,17.5
10149,Smoke,  Comedy   Drama  ,5.55
18402,Something to Talk About,  Comedy  ,3.74
9348,Species,  Science Fiction   Horror   Action  ,13.49
139408,The Stars Fell on Henrietta,  Drama  ,0.91
281,Strange Days,  Crime   Drama   Science Fiction   Thriller  ,11.22
5967,The Umbrellas of Cherbourg,  Drama   Romance  ,8.13
79593,The Tie That Binds,  Thriller  ,1.82
47939,Three Wishes,  Drama   Fantasy  ,11.0
36834,Total Eclipse,  Drama   Romance  ,4.55
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",  Comedy  ,7.65
3512,Under Siege 2: Dark Territory,  Action   Thriller  ,7.49
52856,Unstrung Heroes,  Comedy   Drama   Family  ,2.88
77350,Unzipped,  Documentary  ,0.79
9560,A Walk in the Clouds,  Drama   Romance  ,9.72
9804,Waterworld,  Adventure   Action  ,16.89
31611,White Man's Burden,  Drama  ,1.83
65796,Wild Bill,  Action   Western  ,8.92
49805,The Browning Version,  Drama  ,3.73
26258,Bushwhacked,  Adventure   Action   Comedy   Crime   Family  ,3.29
50797,Burnt by the Sun,  Drama  ,2.49
19155,Before the Rain,  Drama   War  ,3.53
76,Before Sunrise,  Drama   Romance  ,11.3
11017,Billy Madison,  Comedy  ,6.64
37141,The Babysitter,  Drama   Thriller  ,2.76
9382,Boys on the Side,  Comedy   Drama  ,3.03
6715,The Cure,  Drama   Family  ,2.69
18256,Castle Freak,  Thriller   Drama   Horror   Mystery  ,2.27
22625,Circle of Friends,  Drama   Family   Romance  ,2.61
2292,Clerks,  Comedy  ,10.51
1909,Don Juan DeMarco,  Romance   Drama   Comedy  ,7.44
8984,Disclosure,  Drama   Thriller   Crime   Mystery   Romance  ,11.81
61813,Dream Man,  Thriller  ,0.16
4954,Drop Zone,  Action   Adventure   Thriller  ,9.58
62488,Destiny Turns on the Radio,  Crime   Comedy   Fantasy  ,0.71
10531,Death and the Maiden,  Drama   Thriller   Mystery  ,5.48
11929,Dolores Claiborne,  Crime   Drama   Mystery  ,5.8
8467,Dumb and Dumber,  Comedy  ,9.84
10451,Eat Drink Man Woman,  Comedy   Drama   Romance  ,4.86
20156,Exotica,  Drama   Mystery  ,5.38
18395,Exit to Eden,  Thriller   Comedy   Crime   Romance  ,4.32
522,Ed Wood,  Comedy   Drama   History  ,11.72
397,French Kiss,  Comedy   Romance  ,9.15
10525,Forget Paris,  Comedy   Drama   Romance  ,16.24
27985,Far from Home: The Adventures of Yellow Dog,  Action   Adventure   Drama   Family  ,2.66
15789,A Goofy Movie,  Romance   Animation   Family   Comedy   Adventure  ,10.18
27303,Hideaway,  Drama   Thriller  ,8.18
21183,Fluke,  Drama   Family   Fantasy  ,4.95
10954,Farinelli,  History   Drama  ,8.94
47867,Gordy,  Drama   Family   Fantasy  ,0.4
43475,Gumby: The Movie,  Fantasy   Animation   Science Fiction   Family  ,0.09
72031,The Glass Shield,  Drama   Action   Thriller   Crime  ,1.01
14275,Hoop Dreams,  Documentary  ,9.48
1024,Heavenly Creatures,  Drama   Fantasy  ,9.44
17207,Houseguest,  Comedy   Family  ,2.69
13701,Immortal Beloved,  Drama   Music   Romance  ,7.98
14819,Heavyweights,  Comedy   Family   Drama  ,9.55
32631,The Hunted,  Action   Thriller  ,2.76
11777,I.Q.,  Comedy   Drama   Romance  ,5.15
628,Interview with the Vampire,  Horror   Romance  ,11.97
87729,Jefferson in Paris,  Drama   Romance  ,1.6
18713,The Jerky Boys,  Comedy   Crime  ,0.75
6280,Junior,  Comedy   Family   Romance  ,6.71
9061,Just Cause,  Action   Drama   Mystery   Thriller  ,9.2
37108,A Kid in King Arthur's Court,  Adventure   Fantasy   Comedy   Science Fiction   Family  ,5.87
6071,Kiss of Death,  Action   Crime   Drama   Thriller  ,7.8
11,Star Wars,  Adventure   Action   Science Fiction  ,42.15
9587,Little Women,  Drama   Romance  ,9.77
19101,A Little Princess,  Drama   Family   Fantasy  ,7.73
49980,Ladybird Ladybird,  Drama  ,0.85
17961,L'Enfer,  Crime   Drama  ,1.95
18183,Like Water for Chocolate,  Drama   Romance  ,4.13
4476,Legends of the Fall,  Adventure   Drama   Romance   War  ,12.2
11008,Major Payne,  Adventure   Comedy   Family  ,9.25
47504,Little Odessa,  Action   Drama  ,1.86
32325,Mi Vida Loca,  Crime   Drama  ,1.79
43742,Love Affair,  Drama   Romance  ,3.29
28313,Losing Isaiah,  Drama  ,7.7
11318,The Madness of King George,  Comedy   Drama   History  ,4.81
3036,Mary Shelley's Frankenstein,  Drama   Horror   Science Fiction   Romance  ,14.29
40490,Man of the House,  Action   Comedy   Family  ,2.56
24070,Mixed Nuts,  Comedy   Drama   Romance  ,2.9
8986,Milk Money,  Comedy   Romance  ,3.77
10510,Miracle on 34th Street,  Fantasy   Drama   Family  ,5.83
17402,Miami Rhapsody,  Comedy   Romance  ,1.14
38722,My Family,  Comedy   Drama  ,3.12
8438,Murder in the First,  Crime   Drama  ,9.52
11593,Nobody's Fool,  Drama   Comedy  ,2.89
1945,Nell,  Drama   Thriller  ,5.93
39310,New Jersey Drive,  Crime   Drama  ,0.63
109560,New York Cop,  Action   Thriller   Crime   Drama  ,0.0
56428,Beyond Bedlam,  Horror  ,0.43
63105,Nemesis 2 - Nebula,  Science Fiction   Action   Thriller  ,1.47
131957,Nina Takes a Lover,  Drama   Romance  ,0.77
241,Natural Born Killers,  Crime   Thriller   Drama  ,11.23
9058,Only You,  Comedy   Drama   Romance  ,4.94
527,Once Were Warriors,  Drama  ,4.03
18220,Poison Ivy II: Lily,  Drama   Romance   Thriller  ,6.45
6950,Outbreak,  Action   Drama   Science Fiction   Thriller  ,13.68
101,Leon: The Professional,  Thriller   Crime   Drama  ,20.48
63020,The Perez Family,  Comedy   Drama   Romance  ,1.43
2307,A Pyromaniac's Love Story,  Comedy   Drama   Romance  ,0.46
680,Pulp Fiction,  Thriller   Crime  ,140.95
41478,Panther,  Drama  ,7.16
25296,Pushing Hands,  Comedy   Drama  ,1.64
40156,Priest,  Drama   Romance  ,1.88
11450,Quiz Show,  History   Drama  ,7.77
30304,Picture Bride,  Drama   History  ,1.3
10452,Queen Margot,  Drama   History  ,4.41
12106,The Quick and the Dead,  Action   Western  ,7.55
161495,Roommates,  Drama   Comedy  ,3.4
3586,Prêt-à-Porter,  Drama   Comedy  ,6.26
110,Three Colors: Red,  Drama   Mystery   Romance  ,7.83
108,Three Colors: Blue,  Drama   Music   Mystery  ,8.84
109,Three Colors: White,  Comedy   Drama   Mystery  ,6.59
159185,"Red Firecracker, Green Firecracker",  Drama  ,0.08
36357,Rent-a-Kid,  Comedy   Family   TV Movie  ,1.16
92769,Relative Fear,  Horror   Drama  ,0.5
28033,Stuart Saves His Family,  Comedy   Drama  ,1.39
22586,The Swan Princess,  Animation  ,8.91
14334,The Secret of Roan Inish,  Drama   Family   Fantasy  ,1.75
2636,The Specialist,  Action   Thriller  ,10.39
2164,Stargate,  Action   Adventure   Science Fiction  ,13.33
11395,The Santa Clause,  Fantasy   Drama   Comedy   Family  ,9.67
278,The Shawshank Redemption,  Drama   Crime  ,51.65
9905,Shallow Grave,  Crime   Thriller  ,8.22
87078,Suture,  Drama   Thriller  ,1.3
12527,Strawberry and Chocolate,  Comedy   Drama  ,1.78
20306,Swimming with Sharks,  Crime   Comedy  ,5.87
36614,The Sum of Us,  Comedy   Drama   Romance  ,1.41
27993,Senior Trip,  Comedy  ,5.06
31439,To Live,  Drama   Romance   War  ,5.26
9067,Tank Girl,  Action   Comedy   Fantasy   Science Fiction  ,7.6
9059,Tales from the Crypt: Demon Knight,  Horror   Comedy   Thriller  ,9.46
193,Star Trek: Generations,  Science Fiction   Action   Adventure   Thriller  ,8.11
25066,Tales from the Hood,  Crime   Horror   Thriller  ,2.86
46797,Tom & Viv,  Drama   Romance  ,0.7
12122,Village of the Damned,  Thriller   Horror   Science Fiction  ,6.53
11381,Tommy Boy,  Comedy  ,11.97
32636,Vanya on 42nd Street,  Drama   Romance  ,7.04
36141,The Underneath,  Thriller   Crime  ,2.06
95963,The Walking Dead,  Drama   War  ,0.62
1587,What's Eating Gilbert Grape,  Romance   Drama  ,10.39
9271,Virtuosity,  Action   Crime   Science Fiction   Thriller  ,5.19
2064,While You Were Sleeping,  Comedy   Drama   Romance  ,15.78
19855,The War,  Drama  ,3.91
60855,Double Happiness,  Comedy   Romance  ,0.37
236,Muriel's Wedding,  Drama   Comedy   Romance  ,5.25
48287,The Baby-Sitters Club,  Comedy   Drama   Family  ,2.16
3049,Ace Ventura: Pet Detective,  Comedy   Mystery  ,11.25
2759,"The Adventures of Priscilla, Queen of the Desert",  Drama   Comedy  ,8.33
12635,Backbeat,  Drama   Music  ,2.49
10497,Bitter Moon,  Thriller   Drama   Romance  ,11.3
11382,Bullets Over Broadway,  Action   Comedy   Thriller  ,5.72
9331,Clear and Present Danger,  Action   Drama   Thriller  ,7.51
10731,The Client,  Drama   Thriller   Crime   Mystery  ,15.26
10464,"Corrina, Corrina",  Comedy   Drama   Family   Romance  ,6.92
34152,Crooklyn,  Comedy   Drama  ,2.53
9495,The Crow,  Fantasy   Action   Thriller  ,15.8
29973,Cobb,  Drama  ,2.58
888,The Flintstones,  Fantasy   Comedy   Family  ,15.02
13,Forrest Gump,  Comedy   Drama   Romance  ,48.31
712,Four Weddings and a Funeral,  Comedy   Drama   Romance  ,8.99
16295,Higher Learning,  Romance   Drama   Crime  ,7.82
48992,I Like It Like That,  Comedy   Drama   Romance  ,0.29
10879,I Love Trouble,  Action   Comedy   Romance  ,3.57
10660,It Could Happen to You,  Comedy   Drama   Romance  ,11.27
10714,The Jungle Book,  Adventure   Drama   Family  ,10.71
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",  Documentary   Foreign  ,0.57
8587,The Lion King,  Family   Animation   Drama  ,21.61
1689,Little Buddha,  Drama   History  ,5.68
11596,New Nightmare,  Horror   Thriller   Mystery   Fantasy  ,9.86
854,The Mask,  Romance   Comedy   Crime   Fantasy  ,14.13
9359,Maverick,  Action   Adventure   Comedy   Drama   Western  ,15.05
23333,Mrs. Parker and the Vicious Circle,  Drama  ,4.74
36593,The Naked Gun 33⅓: The Final Insult,  Comedy   Crime  ,10.59
12280,The Paper,  Comedy   Drama  ,4.01
2788,Reality Bites,  Drama  ,6.51
10427,Red Rock West,  Crime   Drama   Thriller  ,5.14
11011,Ri¢hie Ri¢h,  Comedy   Family  ,6.6
49803,Safe Passage,  Drama  ,4.93
8987,The River Wild,  Action   Adventure   Crime   Thriller  ,10.51
1637,Speed,  Action   Adventure   Crime  ,10.86
15128,Speechless,  Comedy   Romance  ,2.33
8831,Timecop,  Thriller   Science Fiction   Action   Crime  ,8.91
36955,True Lies,  Action   Thriller  ,11.4
10449,When a Man Loves a Woman,  Drama   Romance  ,4.32
10395,Wolf,  Fantasy  ,14.06
12160,Wyatt Earp,  Drama   Action   Western  ,9.28
40480,Bad Company,  Action   Crime   Romance   Thriller  ,0.91
52038,A Man of No Importance,  Comedy   Drama  ,0.41
29444,S.F.W.,  Comedy   Drama  ,2.5
26352,A Low Down Dirty Shame,  Action   Comedy   Crime  ,3.02
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",  Drama  ,0.05
41580,Colonel Chabert,  Drama  ,0.93
315,"Faster, Pussycat! Kill! Kill!",  Action   Crime  ,4.22
22067,Jason's Lyric,  Crime   Drama   Romance  ,0.91
18242,The Secret Adventures of Tom Thumb,  Animation   Science Fiction  ,0.38
11667,Street Fighter,  Action   Adventure   Thriller  ,13.58
32502,Coldblooded,  Action   Comedy  ,2.34
267188,Desert Winds,,0.25
28732,Fall Time,  Action   Adventure   Crime   Drama   Thriller  ,1.11
75555,The Fear,  Horror   Thriller  ,0.27
42981,Frank and Ollie,  Documentary  ,0.14
278939,Girl in the Cadillac,  Romance   Adventure   Crime   Drama  ,0.41
291731,Homage,  Thriller   Drama  ,0.01
226229,Mirage,  Action   Thriller  ,0.3
203119,Open Season,  Comedy  ,0.01
172923,Dos Crímenes,,0.23
316098,Brother Minister: The Assassination of Malcolm X,  Documentary  ,0.04
8011,Highlander: The Final Dimension,  Action   Fantasy   Science Fiction  ,6.87
171857,Federal Hill,,0.1
2654,In the Mouth of Madness,  Horror   Mystery   Thriller  ,8.5
18069,8 Seconds,  Drama   Romance  ,1.89
19092,Above the Rim,  Crime   Drama  ,4.38
2758,Addams Family Values,  Comedy   Family   Fantasy  ,17.56
38129,Martin Lawrence: You So Crazy,  Comedy  ,0.39
10436,The Age of Innocence,  Drama   Romance  ,8.01
13595,Airheads,  Comedy   Crime   Music  ,7.09
46094,The Air Up There,  Comedy   Family  ,1.9
9409,Another Stakeout,  Action   Comedy  ,12.97
11853,Bad Girls,  Action   Adventure   Comedy   Drama   Western  ,14.64
16771,Barcelona,  Comedy   Drama   Romance  ,1.63
46924,Being Human,  Drama   Comedy   Fantasy  ,2.78
11041,The Beverly Hillbillies,  Comedy  ,5.67
306,Beverly Hills Cop III,  Action   Comedy   Crime  ,11.79
14522,Black Beauty,  Action   Adventure   Drama   Family  ,8.4
26203,Blink,  Mystery   Crime   Drama   Thriller  ,3.0
178,Blown Away,  Drama   Action   Thriller  ,13.16
19819,Blue Chips,  Drama  ,6.13
57834,Blue Sky,  Drama   Romance  ,4.99
4722,Body Snatchers,  Horror   Science Fiction   Thriller  ,6.56
18215,Boxing Helena,  Drama   Romance  ,4.3
1607,A Bronx Tale,  Drama   Crime  ,6.12
26391,Cabin Boy,  Comedy  ,1.68
117553,Calendar Girl,  Drama   Comedy  ,1.32
6075,Carlito's Way,  Action   Crime   Drama   Thriller  ,8.7
11310,City Slickers II: The Legend of Curly's Gold,  Action   Comedy   Drama   Western  ,8.61
18658,Clean Slate,  Comedy   Thriller   Mystery  ,2.72
9350,Cliffhanger,  Action   Adventure   Thriller  ,9.83
9612,Coneheads,  Comedy   Science Fiction   Family  ,10.72
2124,Color of Night,  Drama   Mystery   Romance   Thriller  ,14.23
26261,Cops & Robbersons,  Action   Comedy   Family  ,7.04
19176,The Cowboy Way,  Western   Action   Comedy  ,4.29
49299,Dangerous Game,  Drama  ,2.7
11566,Dave,  Comedy  ,13.7
9571,Dazed and Confused,  Comedy   Drama  ,6.87
9739,Demolition Man,  Crime   Action   Science Fiction  ,11.63
24257,The Endless Summer 2,  Documentary  ,0.41
34444,Even Cowgirls Get the Blues,  Western   Drama   Comedy   Romance  ,2.97
26141,Fatal Instinct,  Comedy  ,3.56
10997,Farewell My Concubine,  Drama  ,4.88
50463,The Favor,  Drama   Comedy   Romance  ,1.34
10443,Fearless,  Drama  ,9.28
20239,Fear of a Black Hat,  Comedy  ,0.99
16297,With Honors,  Comedy   Drama  ,2.97
18551,Flesh and Bone,  Drama   Mystery   Romance  ,1.9
25440,Widows' Peak,  Comedy   Thriller   Mystery   Romance   Foreign  ,0.41
9024,For Love or Money,  Comedy   Romance  ,8.47
37233,The Firm,  Drama   Mystery   Thriller  ,9.68
1634,Free Willy,  Family   Adventure  ,5.99
13815,Fresh,  Crime   Drama   Thriller  ,3.97
5503,The Fugitive,  Adventure   Action   Thriller   Crime   Mystery  ,10.09
35588,Geronimo: An American Legend,  History   Action   Drama   Western  ,4.65
2087,The Getaway,  Drama   Action   Thriller  ,14.21
41579,Getting Even with Dad,  Family   Comedy   Crime  ,2.41
18620,Go Fish,  Drama   Romance  ,0.78
41006,A Good Man in Africa,  Comedy   Drama  ,5.23
4916,Guilty as Sin,  Drama   Thriller  ,5.39
2019,Hard Target,  Action   Adventure   Crime   Thriller  ,7.83
31642,Heaven & Earth,  History   War   Action   Drama  ,4.19
9255,Hot Shots! Part Deux,  Action   Comedy   War  ,13.48
26271,Live Nude Girls,  Comedy  ,2.14
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,  Drama   Comedy   Romance  ,5.33
2259,The House of the Spirits,  Romance   Drama  ,10.69
16097,House Party 3,  Comedy  ,1.0
11934,The Hudsucker Proxy,  Comedy   Drama  ,7.55
106143,I'll Do Anything,  Comedy   Drama  ,1.74
12475,In the Army Now,  Comedy  ,6.07
9386,In the Line of Fire,  Action   Drama   Thriller   Crime   Mystery  ,12.64
7984,In the Name of the Father,  Drama  ,7.41
59930,The Inkwell,  Comedy   Drama   Romance  ,0.61
15765,What's Love Got to Do with It,  Drama   Music  ,14.82
31643,Jimmy Hollywood,  Comedy  ,4.56
6,Judgment Night,  Action   Thriller   Crime  ,5.54
329,Jurassic Park,  Adventure   Science Fiction  ,8.86
10909,Kalifornia,  Thriller   Crime  ,8.43
507,Killing Zoe,  Action   Crime   Drama   Thriller  ,4.95
34024,King of the Hill,  Drama  ,4.38
29918,Lassie,  Action   Adventure   Drama   Family  ,3.65
9593,Last Action Hero,  Adventure   Fantasy   Action   Comedy   Family  ,9.43
42580,Life With Mikey,  Comedy   Family  ,6.45
22317,Lightning Jack,  Action   Comedy   Western  ,2.91
1413,M. Butterfly,  Drama   Romance  ,6.52
12121,Made in America,  Comedy  ,5.43
